time,left,front,u,Xi,desired
0.061,407.043544,67.068430,-1.500000,-23.086315,372.857224
0.091,390.587984,64.940512,-1.500000,-6.273484,373.191122
0.121,349.021615,72.534950,1.500000,35.648087,373.523086
0.151,388.869320,66.564172,-1.500000,-3.854737,373.845405
0.178,407.535881,69.763292,-1.500000,-22.203795,374.142136
0.209,400.954269,67.347199,-1.500000,-15.264117,374.476778
0.239,391.872673,70.417595,-1.500000,-5.843508,374.793612
0.271,383.193685,71.371698,1.500000,3.201925,375.136084
0.303,386.045353,71.000529,1.500000,0.707610,375.470059
0.335,392.357456,77.660880,-1.500000,-5.248989,375.802305
0.367,353.241500,71.619772,1.500000,34.222227,376.134324
0.401,372.071576,68.106504,1.500000,15.763252,376.481148
0.434,373.008757,68.417745,1.500000,15.190732,376.821952
0.469,417.807136,61.117945,-1.500000,-29.238059,377.167362
0.500,397.323349,70.820667,-1.500000,-8.418584,377.481088
0.534,377.485762,64.694030,1.500000,11.775157,377.813943
0.565,377.302716,66.005931,1.500000,12.279395,378.114123
0.600,408.536565,67.108873,-1.500000,-18.596653,378.448515
0.632,394.255411,62.884865,-1.500000,-3.992976,378.749939
0.663,406.198209,71.961178,-1.500000,-15.616794,379.048052
0.699,400.656921,72.235770,-1.500000,-9.721581,379.378822
0.732,379.227873,69.964204,1.500000,12.033411,379.683444
0.769,369.492033,66.799467,1.500000,22.130782,380.021322
0.799,391.159500,69.104103,1.500000,0.753600,380.292616
0.831,383.422493,71.311860,1.500000,8.796125,380.578147
0.860,391.068414,65.308800,1.500000,1.417534,380.827989
0.891,406.494485,65.601372,-1.500000,-13.712163,381.104974
0.921,405.122116,71.925904,-1.500000,-12.065009,381.361782
0.953,396.343786,70.982968,-1.500000,-2.999036,381.630608
0.987,375.294885,68.939503,1.500000,18.353880,381.914734
1.019,385.071553,68.455611,1.500000,8.861964,382.180857
1.051,379.218564,66.868741,1.500000,14.994053,382.441698
1.087,392.641516,65.435366,1.500000,1.886042,382.736035
1.118,401.610962,65.082805,-1.500000,-6.822568,382.979808
1.151,394.939550,71.703548,-1.500000,0.125632,383.238488
1.183,398.174893,68.480347,-1.500000,-2.846879,383.484126
1.213,383.989051,68.602137,1.500000,11.584545,383.713641
1.246,405.969406,62.145920,-1.500000,-10.129195,383.962814
1.279,414.842815,65.179850,-1.500000,-18.739868,384.208361
1.311,395.903093,70.615813,-0.961073,0.445958,384.438366
1.349,398.465499,67.793698,-1.500000,-1.824441,384.711270
1.378,397.110816,70.401648,-1.500000,-0.248148,384.918381
1.413,390.705010,63.506689,1.500000,6.415575,385.159426
1.447,400.419594,64.645455,-1.500000,-3.052915,385.389420
1.479,344.234036,63.827126,1.500000,53.365860,385.607379
1.510,392.316780,64.386719,1.500000,5.499101,385.809235
1.539,377.397477,68.626404,1.500000,20.624762,386.002093
1.569,369.161986,65.407347,1.500000,29.060595,386.189328
1.598,405.063449,65.703511,-1.500000,-6.640988,386.376131
1.631,385.217764,70.344144,1.500000,13.421796,386.579028
1.663,390.937771,63.974668,1.500000,7.908137,386.771876
1.696,404.125935,72.584731,-1.500000,-5.069978,386.968184
1.731,405.745817,64.138965,-1.500000,-6.472842,387.171005
1.762,385.627873,63.479480,1.500000,13.834244,387.347773
1.795,405.448390,68.651634,-1.500000,-5.793231,387.528186
1.827,385.525966,75.086268,1.500000,14.319296,387.705852
1.858,416.715837,67.280203,-1.500000,-16.697733,387.867387
