time,left,front,u,Xi,desired
0.021,393.208144,65.047920,-1.500000,-8.946942,372.401045
0.050,388.213889,59.886809,-1.500000,-3.571685,372.732351
0.080,363.704360,68.788204,1.500000,21.322441,373.066783
0.110,369.540047,73.454218,1.500000,15.861146,373.392342
0.137,379.494094,65.361608,1.500000,6.252036,373.692286
0.168,383.879736,67.006083,1.500000,2.255432,374.030581
0.198,352.823710,65.157181,1.500000,33.679839,374.350912
0.230,373.662627,59.779855,1.500000,13.239790,374.697753
0.262,394.993176,64.194431,-1.500000,-7.702269,375.035571
0.293,421.328164,71.829527,-1.500000,-33.651112,375.371350
0.326,404.805770,62.704265,-1.500000,-16.742772,375.706955
0.359,359.727454,72.795158,1.500000,28.739249,376.058003
0.393,418.553641,67.714044,-1.500000,-29.690126,376.403056
0.428,380.782391,66.511695,1.500000,8.483253,376.752734
0.459,358.917961,67.052048,1.500000,30.713358,377.070712
0.493,389.107527,66.946751,1.500000,0.911476,377.407829
0.524,413.018057,65.078577,-1.500000,-22.649234,377.712020
0.559,401.688593,71.515329,-1.500000,-10.929630,378.051273
0.590,397.692546,65.572906,-1.500000,-6.582995,378.356132
0.622,391.329384,71.336923,-1.344543,0.128604,378.659119
0.657,374.443519,69.710006,1.500000,17.400148,378.994493
0.690,406.003557,68.180432,-1.500000,-13.805598,379.302573
0.728,401.071999,70.026942,-1.500000,-8.477564,379.647335
0.758,393.597068,71.530010,-1.500000,-0.687272,379.921562
0.790,383.052649,68.438757,1.500000,10.188299,380.209520
0.818,369.530085,66.163170,1.500000,24.003620,380.464091
0.850,371.706002,71.118390,1.500000,22.151735,380.745858
0.880,408.726848,70.303676,-1.500000,-14.570159,381.005817
0.912,388.879463,66.829937,1.500000,5.591301,381.278925
0.945,393.136404,70.253569,1.500000,1.665413,381.566797
0.978,395.535522,68.134871,0.990755,-0.421394,381.838372
1.010,411.631352,68.134645,-1.500000,-16.211051,382.104610
1.046,403.514216,69.459407,-1.500000,-7.751101,382.402709
1.077,373.844937,64.597246,1.500000,22.203582,382.650886
1.110,392.783799,61.189513,1.500000,3.567133,382.913854
